decoder,decoded_int,success,cap_hit,stop_reason,alarm,trigger_metric,components_generated,membership_queries,latent_hypotheses_available,latent_queues_touched,valid_witnesses,unique_candidates,complete_marginal_candidates,state_word_metric_evals,bit_metric_accumulations,osd_reprocessings,bch_decode_attempts,preprocessing_state_metrics,wall_seconds,first_component_gap,queue_touch_fraction,frame_uid,code_id,family,n,k,rate,condition,snr_db,true_label,transmitted_int,decoded_correct,trigger_threshold
event_state_sweep_chase_bch,1.7468900878974347e+19,True,False,no_alarm_accept_no_slip,False,1.3158195783102848,22,0,1,1,1,1,1,1,64,0,22,1,0.009812861098907888,,1.0,BCH64_45_no_slip_t13,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,17468900878974348182,True,1.6668146288795762
normal_code_decoder,1.3503976734196965e+19,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.006591515033505857,,1.0,BCH64_45_no_slip_t14,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,13503976734196965689,True,1.6668146288795762
event_ls_first,1.3503976734196965e+19,True,False,no_alarm_accept_no_slip,False,1.2876820452844577,22,0,1,1,1,1,1,1,64,0,22,1,0.006621313048526645,,1.0,BCH64_45_no_slip_t14,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,13503976734196965689,True,1.6668146288795762
event_ls_adaptive_l2,1.3503976734196965e+19,True,False,no_alarm_accept_no_slip,False,1.2876820452844577,22,0,1,1,1,1,1,1,64,0,22,1,0.006621313048526645,,1.0,BCH64_45_no_slip_t14,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,13503976734196965689,True,1.6668146288795762
event_state_sweep_osd,1.3503976734196965e+19,True,False,no_alarm_accept_no_slip,False,1.2876820452844577,22,0,1,1,1,1,1,1,64,0,22,1,0.006621313048526645,,1.0,BCH64_45_no_slip_t14,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,13503976734196965689,True,1.6668146288795762
event_state_sweep_chase_bch,1.3503976734196965e+19,True,False,no_alarm_accept_no_slip,False,1.2876820452844577,22,0,1,1,1,1,1,1,64,0,22,1,0.006621313048526645,,1.0,BCH64_45_no_slip_t14,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,13503976734196965689,True,1.6668146288795762
normal_code_decoder,3.507863783565427e+18,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.006180919008329511,,1.0,BCH64_45_no_slip_t15,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,3507863783565427004,True,1.6668146288795762
event_ls_first,3.507863783565427e+18,True,False,no_alarm_accept_no_slip,False,0.8487621097384381,22,0,1,1,1,1,1,1,64,0,22,1,0.006208283011801541,,1.0,BCH64_45_no_slip_t15,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,3507863783565427004,True,1.6668146288795762
event_ls_adaptive_l2,3.507863783565427e+18,True,False,no_alarm_accept_no_slip,False,0.8487621097384381,22,0,1,1,1,1,1,1,64,0,22,1,0.006208283011801541,,1.0,BCH64_45_no_slip_t15,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,3507863783565427004,True,1.6668146288795762
event_state_sweep_osd,3.507863783565427e+18,True,False,no_alarm_accept_no_slip,False,0.8487621097384381,22,0,1,1,1,1,1,1,64,0,22,1,0.006208283011801541,,1.0,BCH64_45_no_slip_t15,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,3507863783565427004,True,1.6668146288795762
event_state_sweep_chase_bch,3.507863783565427e+18,True,False,no_alarm_accept_no_slip,False,0.8487621097384381,22,0,1,1,1,1,1,1,64,0,22,1,0.006208283011801541,,1.0,BCH64_45_no_slip_t15,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,3507863783565427004,True,1.6668146288795762
normal_code_decoder,2.45908626216142e+18,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.007681520073674619,,1.0,BCH64_45_no_slip_t16,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,2459086262161419768,True,1.6668146288795762
event_ls_first,2.45908626216142e+18,True,False,no_alarm_accept_no_slip,False,0.9127390741811912,22,0,1,1,1,1,1,1,64,0,22,1,0.007720648078247905,,1.0,BCH64_45_no_slip_t16,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,2459086262161419768,True,1.6668146288795762
