case_id,trial_uid,n,k,rate,family,snr_db,true_slip_prob,model_slip_prob,forced_location_fraction,two_slip_fraction,phase_innovation_std_deg,phase_initial_std_deg,assumed_noise_offset_db,true_state_label,model_contains_true_path,state_hypothesis_count,code_replicate,trial_index,transmitted_int,decoder,decoded_correct,decoded_int,success,certified,cap_hit,stop_reason,components_generated,membership_queries,latent_hypotheses_available,latent_queues_touched,valid_codewords,unique_candidates,complete_marginal_candidates,state_word_metric_evals,bit_metric_accumulations,osd_reprocessings,preprocessing_state_metrics,wall_seconds,queue_touch_fraction
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t7,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,7,1948650201,ls_list_marginal_L4,True,1948650201,True,False,False,valid_list_complete,9091,7440,31,31,7,4,4,124,3968,0,62,0.09268717106897384,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t7,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,7,1948650201,ls_list_marginal_L8,True,1948650201,True,False,True,query_cap_before_list,25000,19634,31,31,10,7,7,217,6944,0,62,0.25273724796716124,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t7,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,7,1948650201,latent_osd_batch_o2_s31,True,1948650201,True,False,False,best_marginal_in_osd_union,1736,0,31,31,915,915,915,28365,907680,1736,31,0.07702663994859904,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t7,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,7,1948650201,plain_osd_batch_o2,False,2011408204,True,False,False,best_marginal_in_osd_union,56,0,1,1,56,56,56,56,1792,56,1,0.0025495410664007068,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t7,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,7,1948650201,lsgrand_certified_v1_bound,True,1948650201,True,True,False,strict_unseen_codeword_certificate,256,256,31,31,1,1,0,256,8192,0,31,0.0034896970028057694,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t8,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,8,504865902,ls_first_valid,True,504865902,True,False,False,valid_list_complete,9,9,31,6,1,1,0,0,0,0,31,0.0015741450479254127,0.1935483870967742
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t8,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,8,504865902,ls_list_marginal_L2,True,504865902,True,False,False,valid_list_complete,6002,4898,31,31,3,2,2,62,1984,0,62,0.06310718599706888,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t8,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,8,504865902,ls_list_marginal_L4,True,504865902,True,False,False,valid_list_complete,22315,17205,31,31,7,4,4,124,3968,0,62,0.21353572700172663,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t8,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,8,504865902,ls_list_marginal_L8,True,504865902,True,False,True,query_cap_before_list,25000,19183,31,31,7,4,4,124,3968,0,62,0.261435438063927,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t8,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,8,504865902,latent_osd_batch_o2_s31,True,504865902,True,False,False,best_marginal_in_osd_union,1736,0,31,31,814,814,814,25234,807488,1736,31,0.09860734909307212,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t8,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,8,504865902,plain_osd_batch_o2,False,528610985,True,False,False,best_marginal_in_osd_union,56,0,1,1,56,56,56,56,1792,56,1,0.0032170111080631614,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t8,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,8,504865902,lsgrand_certified_v1_bound,True,504865902,True,True,False,strict_unseen_codeword_certificate,128,128,31,31,1,1,0,128,4096,0,31,0.0032667419873178005,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t9,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,9,4047599951,ls_first_valid,True,4047599951,True,False,False,valid_list_complete,13,13,31,6,1,1,0,0,0,0,31,0.0011932390043511987,0.1935483870967742
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t9,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,9,4047599951,ls_list_marginal_L2,True,4047599951,True,False,False,valid_list_complete,10333,8423,31,31,4,2,2,62,1984,0,62,0.13641599693801254,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t9,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,9,4047599951,ls_list_marginal_L4,True,4047599951,True,False,False,valid_list_complete,22631,17905,31,31,7,4,4,124,3968,0,62,0.27754080505110323,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t9,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,9,4047599951,ls_list_marginal_L8,True,4047599951,True,False,True,query_cap_before_list,25000,19707,31,31,9,4,4,124,3968,0,62,0.3580659319413826,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t9,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,9,4047599951,latent_osd_batch_o2_s31,True,4047599951,True,False,False,best_marginal_in_osd_union,1736,0,31,31,908,908,908,28148,900736,1736,31,0.07962644507642835,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t9,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,9,4047599951,plain_osd_batch_o2,False,841503781,True,False,False,best_marginal_in_osd_union,56,0,1,1,56,56,56,56,1792,56,1,0.0030284939566627145,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t9,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,9,4047599951,lsgrand_certified_v1_bound,True,4047599951,True,True,False,strict_unseen_codeword_certificate,288,288,31,31,1,1,0,288,9216,0,31,0.003990049008280039,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t10,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,10,4000223024,ls_first_valid,True,4000223024,True,False,False,valid_list_complete,39,39,31,31,1,1,0,0,0,0,31,0.0011797850020229816,1.0
