n,symbols,apparent_hamming_weight,apparent_error_fraction,hard_grand_log2_rank_lower_bound,latent_family_size,latent_family_log2_size,log2_coordinate_separation_lower_bound,case_id,family,k,rate,code_replicate,trial_id,location_label,location_fraction,tau,direction
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,141,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,142,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,143,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,144,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,145,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,146,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,147,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,148,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,149,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,150,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,151,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,152,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,153,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,154,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,155,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,156,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,157,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,158,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,159,late,0.85,14,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,160,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,161,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,162,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,163,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,164,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,165,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,166,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,167,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,168,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,169,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,170,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,171,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,172,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,2,173,middle,0.5,8,3
