experiment,case_id,trial_id,n,k,rate,family,snr_db,true_label,states,full_cartesian_pairs,oracle_marginal_int,oracle_joint_int,transmitted_int,oracle_tie,oracle_margin_log,certified,ls_decoded_int,ls_matches_marginal,certificate_verified,first_decoded_int,first_matches_marginal,joint_matches_marginal,marginal_error,joint_error,first_error,direct_probability_check,membership_queries,query_fraction_of_cartesian,latent_queues_touched,queue_touch_fraction,valid_witnesses,unique_codewords_seen,certificate_query_overhead,certificate_margin_log,ls_cap_hit,ls_wall_seconds,first_queries,first_wall_seconds
exactness,E10_SPARSE,52,10,7,0.7,sparse,7.0,slip_2_3,9,9216,59,31,31,False,0.001437755449759548,True,59,True,True,31,False,False,True,False,False,True,38,0.004123263888888889,9,1.0,7,5,4.222222222222222,6.942187397163124e-06,False,0.001230924972333014,5,0.00017936201766133308
exactness,E10_SPARSE,53,10,7,0.7,sparse,5.0,no_slip,9,9216,50,50,50,False,4.019830081777561,True,50,True,True,50,True,True,False,False,False,True,1,0.00010850694444444444,1,0.1111111111111111,1,1,1.0,0.006250560091006108,False,0.00019159005023539066,1,0.00015426299069076777
exactness,E10_SPARSE,54,10,7,0.7,sparse,1.0,slip_4_1,9,9216,689,178,178,False,0.30802646593771676,True,689,True,True,178,False,False,True,False,False,True,194,0.021050347222222224,9,1.0,23,16,16.166666666666668,0.0022733559356016286,False,0.009912565001286566,10,0.00022750499192625284
exactness,E10_SPARSE,55,10,7,0.7,sparse,3.0,no_slip,9,9216,475,475,475,False,2.274290646720713,True,475,True,True,475,True,True,False,False,False,True,2,0.00021701388888888888,1,0.1111111111111111,1,1,2.0,0.07509831545938273,False,0.00020794803276658058,1,0.0001535859191790223
exactness,E10_SPARSE,56,10,7,0.7,sparse,1.0,no_slip,9,9216,572,572,572,False,0.031196614794481548,True,572,True,True,572,True,True,False,False,False,True,490,0.053168402777777776,9,1.0,66,35,37.69230769230769,1.6462643975145852e-05,False,0.05279771296773106,13,0.0003416769905015826
exactness,E10_SPARSE,57,10,7,0.7,sparse,5.0,slip_3_3,9,9216,79,36,68,False,0.5895539849924649,True,79,True,True,36,False,False,True,True,True,True,10,0.0010850694444444445,9,1.0,4,3,1.25,0.010672141150752879,False,0.00048629590310156345,3,0.00020449899602681398
exactness,E10_SPARSE,58,10,7,0.7,sparse,5.0,slip_1_3,9,9216,1002,1002,895,False,2.2771941300310283,True,1002,True,True,1002,True,True,True,True,True,True,1,0.00010850694444444444,1,0.1111111111111111,1,1,1.0,0.07764593589184399,False,0.00021276006009429693,1,0.00017329002730548382
exactness,E10_SPARSE,59,10,7,0.7,sparse,3.0,no_slip,9,9216,579,579,579,False,1.2037020946926393,True,579,True,True,579,True,True,False,False,False,True,12,0.0013020833333333333,9,1.0,3,2,6.0,0.017980769787737216,False,0.0004793819971382618,2,0.00018330500461161137
exactness,E12_DENSE,60,12,8,0.6666666666666666,dense,4.0,slip_1_1,11,45056,3010,3010,2966,False,2.139303888259546,True,3010,True,True,3010,True,True,True,True,True,True,18,0.00039950284090909093,11,1.0,2,2,18.0,0.003538134801033266,False,0.0005576530238613486,1,0.00021137995645403862
exactness,E12_DENSE,61,12,8,0.6666666666666666,dense,0.0,no_slip,11,45056,650,650,650,False,0.6659132044712219,True,650,True,True,650,True,True,False,False,False,True,85,0.0018865411931818182,11,1.0,10,7,85.0,0.05664520890114133,False,0.003205937100574374,1,0.00020059093367308378
